关键词,原始频次,weight
王者,2280,1.0
皮肤,1440,0.6136154553817847
设计,1243,0.5229990800367985
荣耀,1148,0.47930082796688134
小伙伴,641,0.24609015639374426
活动,638,0.24471021159153633
本狐,557,0.20745170193192272
技能,504,0.18307267709291627
原图,490,0.1766329346826127
关注,478,0.17111315547378106
一起,472,0.16835326586936522
英雄,466,0.1655933762649494
大家,436,0.15179392824287027
随机,400,0.13523459061637536
上线,346,0.11039558417663294
峡谷,343,0.10901563937442502
评论,330,0.10303587856485741
开启,323,0.09981600735970561
元素,306,0.09199632014719411
特效,291,0.08509659613615456
即将,290,0.08463661453541858
游戏,285,0.08233670653173873
展示,277,0.07865685372585096
角色,271,0.07589696412143514
主题,267,0.07405703771849126
限时,263,0.07221711131554738
福利,252,0.0671573137074517
微博,250,0.06623735050597976
全新,244,0.06347746090156393
音乐,226,0.05519779208831647
内容,223,0.053817847286108556
限定,219,0.05197792088316467
体验,203,0.04461821527138914
转发,203,0.04461821527138914
武器,203,0.04461821527138914
位送,202,0.04415823367065318
系列,195,0.04093836246550138
参与,192,0.03955841766329347
带来,190,0.03863845446182153
音效,190,0.03863845446182153
组图,186,0.03679852805887764
世界,184,0.035878564857405704
赛季,184,0.035878564857405704
现金,180,0.03403863845446182
故事,179,0.03357865685372585
奖励,179,0.03357865685372585
传说,178,0.03311867525298988
版本,174,0.031278748850046
联动,166,0.027598896044158234
春节,165,0.027138914443422264
玩家,165,0.027138914443422264
金色,163,0.02621895124195032
周年,162,0.025758969641214352
时间,160,0.02483900643974241
灵感,160,0.02483900643974241
形象,160,0.02483900643974241
视频,157,0.023459061637534497
优化,155,0.022539098436062558
结合,154,0.02207911683532659
整体,150,0.020239190432382703
能量,150,0.020239190432382703
新春,149,0.019779208831646734
正式,148,0.019319227230910764
魔术,148,0.019319227230910764
小王,146,0.01839926402943882
风格,144,0.017479300827966882
同时,143,0.01701931922723091
点券,142,0.01655933762649494
看看,140,0.015639374425023
获得,139,0.01517939282428703
过程,139,0.01517939282428703
氛围,135,0.013339466421343146
研发,134,0.012879484820607176
场景,133,0.012419503219871205
神秘,132,0.011959521619135235
少年,131,0.011499540018399264
李白,131,0.011499540018399264
动画,126,0.00919963201471941
龙年,125,0.008739650413983441
动作,125,0.008739650413983441
录制,124,0.00827966881324747
愿望,122,0.007359705611775529
一次,122,0.007359705611775529
免费,120,0.006439742410303588
仅供参考,120,0.006439742410303588
表现,119,0.005979760809567618
共创,118,0.005519779208831647
中国,117,0.005059797608095676
服饰,117,0.005059797608095676
魔法,116,0.004599816007359705
不同,115,0.004139834406623735
通过,115,0.004139834406623735
领取,115,0.004139834406623735
为主,112,0.0027598896044158236
好运,111,0.0022999080036798527
更新,109,0.0013799448022079118
力量,108,0.0009199632014719411
充满,108,0.0009199632014719411
朋友,107,0.00045998160073597056
美宣图,106,0.0
